sentence1,sentence2,score
Sebuah pesawat sedang lepas landas.,Sebuah pesawat terbang sedang lepas landas.,1.0
Seorang pria sedang memainkan seruling besar.,Seorang pria sedang memainkan seruling.,0.76
Seorang pria sedang mengoleskan keju parut di atas pizza.,Seorang pria sedang mengoleskan keju parut di atas pizza yang belum matang.,0.76
Tiga pria sedang bermain catur.,Dua orang pria sedang bermain catur.,0.52
Seorang pria sedang memainkan cello.,Seorang pria yang sedang duduk sedang memainkan cello.,0.85
Beberapa orang berkelahi.,Dua orang berkelahi.,0.85
Seorang pria sedang merokok.,Seorang pria sedang berseluncur.,0.1
Pria itu sedang memainkan piano.,Pria itu sedang memainkan gitar.,0.32
Seorang pria sedang bermain gitar dan bernyanyi.,Seorang wanita memainkan gitar akustik dan bernyanyi.,0.44
Seseorang melempar seekor kucing ke langit-langit.,Seseorang melempar kucing ke langit-langit.,1.0
Pria itu memukul pria lainnya dengan tongkat.,Pria itu memukul pria lainnya dengan tongkat.,1
Seorang wanita menggendong dan menggendong bayi kanguru.,Seorang wanita menggendong dan menggendong bayi kanguru.,0.92
Seorang pria sedang memainkan seruling.,Seorang pria sedang memainkan seruling bambu.,0.77
Seorang sedang melipat selembar kertas.,Seseorang sedang melipat selembar kertas.,0.93
Seorang pria sedang berlari di jalan.,Seekor anjing panda sedang berlari di jalan.,0.33
Seekor anjing sedang berusaha melepaskan daging dari punggungnya.,Seekor anjing sedang mencoba memakan daging yang ada di punggungnya.,0.75
Beruang kutub sedang meluncur di atas salju.,Seekor beruang kutub meluncur di atas salju.,1.0
Seorang wanita sedang menulis.,Seorang wanita sedang berenang.,0.1
Seekor kucing menggosok-gosok wajah bayi.,Seekor kucing sedang bergesekan dengan bayi.,0.76
Pria itu sedang menunggang kuda.,Seorang pria sedang menunggang kuda.,1.0
Seorang pria menuangkan minyak ke dalam panci.,Seorang pria menuangkan anggur ke dalam panci.,0.64
Seorang pria sedang bermain gitar.,Seorang gadis sedang bermain gitar.,0.56
Seekor panda meluncur menuruni perosotan.,Seekor panda meluncur menuruni perosotan.,0.92
Seorang wanita sedang makan sesuatu.,Seorang wanita sedang makan daging.,0.6
Seorang wanita mengupas kentang.,Seorang wanita sedang mengupas kentang.,1.0
Anak laki-laki itu terjatuh dari sepedanya.,Seorang anak laki-laki jatuh dari sepedanya.,0.96
Wanita itu sedang memainkan seruling.,Seorang wanita sedang memainkan seruling.,1.0
Seekor kelinci sedang berlari dari seekor elang.,Seekor kelinci sedang berlari dari seekor elang.,0.84
Wanita itu sedang menggoreng potongan daging babi yang dilapisi tepung roti.,Seorang wanita sedang memasak potongan daging babi yang dilapisi tepung roti.,0.84
Seorang anak perempuan sedang menerbangkan layang-layang.,Seorang anak perempuan yang sedang berlari menerbangkan layang-layang.,0.8
Seorang pria sedang mengendarai banteng mekanik.,Seorang pria mengendarai banteng mekanik.,0.8
Pria itu sedang memainkan gitar.,Seorang pria sedang bermain gitar.,0.98
Seorang wanita menari dan bernyanyi dengan wanita lainnya.,Seorang wanita menari dan bernyanyi di tengah hujan.,0.6
Seorang pria sedang mengiris roti.,Seorang pria sedang mengiris bawang.,0.48
Seorang pria sedang menuangkan minyak ke dalam wajan.,Seorang pria sedang menuangkan minyak ke dalam wajan.,0.84
Seekor singa sedang bermain dengan manusia.,Seekor singa sedang bermain dengan dua orang pria.,0.68
Seekor anjing mengendarai skateboard.,Seekor anjing sedang mengendarai papan luncur.,1.0
Seseorang sedang mengukir patung.,Seorang pria sedang mengukir patung.,0.75
Seorang wanita sedang mengiris bawang.,Seorang pria sedang memotong bawang.,0.55
Seorang wanita mengupas udang.,Seorang wanita sedang mengupas udang.,1.0
Seorang wanita sedang menggoreng ikan.,Seorang wanita sedang memasak ikan.,0.8
Seorang wanita sedang memainkan gitar listrik.,Seorang wanita sedang bermain gitar.,0.72
Seekor bayi harimau sedang bermain dengan sebuah bola.,Seorang bayi sedang bermain dengan boneka.,0.32
Seseorang sedang mengiris tomat.,Seseorang sedang mengiris daging.,0.35
Seseorang memotong bawang.,Seseorang sedang memotong bawang.,1.0
Seorang pria sedang bermain piano.,Seorang wanita sedang memainkan biola.,0.2
Seorang wanita sedang memainkan seruling.,Seorang pria sedang bermain gitar.,0.2
Seorang pria sedang memotong kentang.,Seorang pria sedang memotong-motong wortel.,0.47
Seorang anak sedang bermain gitar.,Seorang anak laki-laki sedang bermain gitar.,0.76
Seorang anak laki-laki sedang bermain gitar.,Seorang pria sedang bermain gitar.,0.64
Seorang pria sedang bermain gitar.,Seorang anak laki-laki sedang bermain gitar.,0.64
Seorang anak laki-laki sedang memainkan keyboard.,Seorang anak laki-laki sedang bermain key board.,0.88
Seorang pria sedang bermain gitar.,Seorang pria sedang memainkan gitar listrik.,0.75
Seekor anjing menjilati bayi.,Seekor anjing sedang menjilati bayi.,0.95
Seorang wanita sedang mengiris bawang.,Seorang pria sedang memotong dan memotong bawang.,0.64
Seorang pria sedang bermain gitar.,Seorang pria sedang memainkan drum.,0.31
Seorang wanita sedang mengiris lada.,Seorang wanita sedang memotong cabai merah.,0.79
Seorang pria sedang memainkan drum.,Seorang pria memainkan drum.,1.0
Seorang wanita menunggang kuda.,Seorang wanita sedang menunggang kuda.,1.0
Seorang pria sedang makan pisang di dekat pohon.,Seorang pria sedang makan pisang.,0.8
Seekor kucing sedang memainkan papan tuts.,Seorang pria sedang memainkan dua buah keyboard.,0.32
Seorang pria menebang pohon dengan kapak.,Seorang pria menebang pohon dengan kapak.,0.95
Seorang anak bermain dengan telepon mainan.,Seorang anak laki-laki bermain dengan telepon mainan.,0.7
Seorang pria sedang mengendarai sepeda motor.,Seorang pria sedang menunggang kuda.,0.28
Seorang pria sedang mengendarai sepeda motor.,Seorang pria sedang menunggang kuda.,0.28
Seekor tupai berputar-putar.,Seekor tupai berlari berputar-putar.,0.8
Seorang pria dan wanita sedang berciuman.,Seorang pria dan wanita berciuman.,1.0
Seorang pria masuk ke dalam mobil.,Seorang pria masuk ke dalam mobil di garasi.,0.77
Seorang pria sedang menari.,Seorang pria sedang berbicara.,0.12
Seorang pria sedang bermain gitar dan bernyanyi.,Seorang pria sedang bermain gitar.,0.58
Seseorang sedang memotong jamur.,Seseorang sedang memotong jamur dengan pisau.,0.84
Seekor anak harimau mengeluarkan suara.,Seekor harimau sedang berjalan-jalan.,0.4
Seseorang sedang mengiris bawang.,Seseorang sedang mengupas bawang.,0.52
Seorang pria sedang bermain piano.,Seorang pria sedang memainkan terompet.,0.32
Seorang wanita sedang mengupas kentang.,Seorang wanita sedang mengupas apel.,0.4
Seekor pankda sedang makan bambu.,Seekor beruang panda sedang makan bambu.,0.84
Seseorang sedang mengupas bawang.,Seseorang sedang mengupas terong.,0.4
Seekor monyet mendorong monyet lainnya.,Monyet itu mendorong monyet lainnya.,0.96
Seekor tupai berlari berputar-putar.,Seekor tupai bergerak berputar-putar.,0.88
Seorang pria sedang mengikat sepatunya.,Seorang pria mengikat sepatunya.,1.0
Seorang anak laki-laki sedang bernyanyi dan bermain piano.,Seorang anak laki-laki sedang bermain piano.,0.6
Seekor anjing sedang makan melon air.,Seekor anjing sedang memakan sepotong semangka.,0.85
